Borough	Year	NTA Code	NTA Name	Population
Brooklyn	2010	BK81	Brownsville	"58,300"
Brooklyn	2010	BK82	East New York	"91,958"
Brooklyn	2010	BK83	Cypress Hills-City Line	"49,223"
Brooklyn	2010	BK85	East New York (Pennsylvania Ave)	"29,343"
Brooklyn	2010	BK88	Borough Park	"106,357"
Brooklyn	2010	BK90	East Williamsburg	"34,158"
Brooklyn	2010	BK91	East Flatbush-Farragut	"50,355"
Brooklyn	2010	BK93	Starrett City	"13,354"
Brooklyn	2010	BK95	Erasmus	"29,938"
Brooklyn	2010	BK96	Rugby-Remsen Village	"55,326"
Brooklyn	2010	BK99	park-cemetery-etc-Brooklyn	418
Manhattan	2010	MN01	Marble Hill-Inwood	"46,746"
Manhattan	2010	MN03	Central Harlem North-Polo Grounds	"75,282"
Manhattan	2010	MN04	Hamilton Heights	"48,520"
Queens	2010	QN61	Jamaica	"53,751"
Manhattan	2010	MN06	Manhattanville	"22,950"
Manhattan	2010	MN09	Morningside Heights	"55,929"
Manhattan	2010	MN11	Central Harlem South	"43,383"
Manhattan	2010	MN12	Upper West Side	"132,378"
Manhattan	2010	MN13	Hudson Yards-Chelsea-Flat Iron-Union Square	"70,150"
Manhattan	2010	MN14	Lincoln Square	"61,489"
Manhattan	2010	MN15	Clinton	"45,884"
Manhattan	2010	MN17	Midtown-Midtown South	"28,630"
Manhattan	2010	MN19	Turtle Bay-East Midtown	"51,231"
Manhattan	2010	MN20	Murray Hill-Kips Bay	"50,742"
Manhattan	2010	MN21	Gramercy	"27,988"
Manhattan	2010	MN22	East Village	"44,136"
Manhattan	2010	MN23	West Village	"66,880"
Manhattan	2010	MN24	SoHo-TriBeCa-Civic Center-Little Italy	"42,742"
Manhattan	2010	MN25	Battery Park City-Lower Manhattan	"39,699"
Manhattan	2010	MN27	Chinatown	"47,844"
Manhattan	2010	MN28	Lower East Side	"72,957"
Manhattan	2010	MN31	Lenox Hill-Roosevelt Island	"80,771"
Manhattan	2010	MN32	Yorkville	"77,942"
Manhattan	2010	MN33	East Harlem South	"57,902"
Manhattan	2010	MN34	East Harlem North	"58,019"
Manhattan	2010	MN35	Washington Heights North	"67,136"
Manhattan	2010	MN36	Washington Heights South	"84,438"
Manhattan	2010	MN40	Upper East Side-Carnegie Hill	"61,207"
Manhattan	2010	MN50	Stuyvesant Town-Cooper Village	"21,049"
Manhattan	2010	MN99	park-cemetery-etc-Manhattan	"1,849"
Queens	2010	QN01	South Jamaica	"38,894"
Queens	2010	QN02	Springfield Gardens North	"25,409"
Queens	2010	QN03	Springfield Gardens South-Brookville	"20,132"
Queens	2010	QN05	Rosedale	"25,063"
Queens	2010	QN06	Jamaica Estates-Holliswood	"25,480"
Queens	2010	QN07	Hollis	"20,269"
Queens	2010	QN08	St. Albans	"48,593"
Queens	2010	QN10	Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl	"28,018"
Queens	2010	QN12	Hammels-Arverne-Edgemere	"36,885"
Queens	2010	QN15	Far Rockaway-Bayswater	"50,058"
Queens	2010	QN17	Forest Hills	"83,728"
Queens	2010	QN18	Rego Park	"28,260"
Queens	2010	QN19	Glendale	"32,496"
Queens	2010	QN20	Ridgewood	"69,317"
Queens	2010	QN21	Middle Village	"37,929"
Queens	2010	QN22	Flushing	"72,008"
Queens	2010	QN23	College Point	"24,275"
Queens	2010	QN25	Corona	"57,658"
Queens	2010	QN26	North Corona	"52,037"
Queens	2010	QN27	East Elmhurst	"23,150"
Queens	2010	QN28	Jackson Heights	"108,152"
Queens	2010	QN29	Elmhurst	"88,427"
Queens	2010	QN30	Maspeth	"30,516"
Queens	2010	QN31	Hunters Point-Sunnyside-West Maspeth	"63,271"
Queens	2010	QN33	Cambria Heights	"18,677"
Queens	2010	QN34	Queens Village	"52,504"
Queens	2010	QN35	Briarwood-Jamaica Hills	"39,138"
Queens	2010	QN37	Kew Gardens Hills	"37,479"
Queens	2010	QN38	Pomonok-Flushing Heights-Hillcrest	"34,034"
Queens	2010	QN41	Fresh Meadows-Utopia	"17,812"
Queens	2010	QN42	Oakland Gardens	"28,237"
Queens	2010	QN43	Bellerose	"25,287"
Queens	2010	QN44	Glen Oaks-Floral Park-New Hyde Park	"22,571"
Queens	2010	QN45	Douglas Manor-Douglaston-Little Neck	"24,739"
Queens	2010	QN46	Bayside-Bayside Hills	"43,808"
Queens	2010	QN47	Ft. Totten-Bay Terrace-Clearview	"21,751"
Queens	2010	QN48	Auburndale	"19,996"
Queens	2010	QN49	Whitestone	"30,773"
Queens	2010	QN50	Elmhurst-Maspeth	"25,521"
Queens	2010	QN51	Murray Hill	"51,739"
Queens	2010	QN52	East Flushing	"26,982"
Queens	2010	QN53	Woodhaven	"56,674"
Queens	2010	QN54	Richmond Hill	"62,982"
Queens	2010	QN55	South Ozone Park	"75,878"
Queens	2010	QN56	Ozone Park	"21,376"
Queens	2010	QN57	Lindenwood-Howard Beach	"26,148"
